CODIGO,DETALLE,DETALLE_E1,DETALLE_E2,RUBRO,PROVEEDOR,UNIDAD,SERIAL_NUM,EXP_DATE,CODIGO_D_R,COSTO,PRECIO_1,PORCENT_1,PRECIO_2,PORCENT_2,PRECIO_3,PORCENT_3,PRECIO_4,PORCENT_4,PRECIO_5,PORCENT_5,PROMO,PROMOPRICE,PROMOSTART,PROMOEND,COMM_TYPE,COMM,COMM_MAX,EXISTENCIA,MINIMO,MAXIMO,PUN_PEDIDO,TASA_IVA,IT_TIPO,IT_POR_MON,TAX_1,TAX_2,TAX_3,TAX_4,TAX_5,BALANZA,TYPE,OBS,VIEW_OBS,SERVICE,CUSTOM_1,CUSTOM_2,CUSTOM_3,CUSTOM_4,CUSTOM_5,CUSTOM_6,IMAGE,IMAGEVIEW,MONEDA,KIT_C_PROD,COD_BARRA,TLABEL,CREADO,MODIFICADO,USE_CP_KIT,EXIS_SUC1,EXIS_SUC2,EXIS_SUC3,EXIS_SUC4,EXIS_SUC5,EXIS_SUC6,EXIS_SUC7,EXIS_SUC8,EXIS_SUC9,EXIS_SUC10,VEN_SUC1,VEN_SUC2,VEN_SUC3,VEN_SUC4,VEN_SUC5,VEN_SUC6,VEN_SUC7,VEN_SUC8,VEN_SUC9,VEN_SUC10,COMER_E
00000026555984 ,MOLDE SILICONA MACETA X 3               ,                                        ,                                        ,MOLDES                        ,0000000001,     ,.F.,.F.,0000000000,0,6113,0,0,0,0,0,0,0,0,0,.F.,0,2/10/2023,2/10/2023,2,0,0,99,2,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,2/10/2023,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
00000026555993 ,MOLDE SILICONA BEIGE ROSA               ,                                        ,                                        ,MOLDES                        ,0000000001,     ,.F.,.F.,0000000000,0,4265,0,0,0,0,0,0,0,0,0,.F.,0,28/05/2023,28/05/2023,2,0,0,100,0,1,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,2/10/2023,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
00000026556006 ,MOLDE JABON X 4                         ,                                        ,                                        ,MOLDES                        ,0000000001,     ,.F.,.F.,0000000000,0,7379,0,0,0,0,0,0,0,0,0,.F.,0,2/10/2023,2/10/2023,2,0,0,99,2,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,2/10/2023,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
1              ,BOL                        ,                                        ,                                        ,MADERA                        ,0000000001,     ,.F.,.F.,0000000000,0,113,0,0,0,0,0,0,0,0,0,.F.,0,19/07/2023,19/07/2023,2,0,0,9357,2,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,24/11/2021,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
100            ,ACRILICO 1/2  PERFORACION               ,                                        ,                                        ,ACRILICO COLOR                ,0000000001,     ,.F.,.F.,0000000000,0,473,0,0,0,0,0,0,0,0,0,.F.,0,14/10/2020,14/10/2020,2,0,0,990,10,1000,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,14/10/2020,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
1000           ,RAMOS DE PAPEL                          ,                                        ,                                        ,MODA FLOR PAPEL               ,0000000001,     ,.F.,.F.,0000000000,0,586,0,0,0,0,0,0,0,0,0,.F.,0,21/09/2020,21/09/2020,2,0,0,48,10,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,7/11/2018,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
1001           ,CINTA DOBLE FAZ                         ,                                        ,                                        ,PEGAMENTOS                    ,0000000001,     ,.F.,.F.,0000000000,0,769,0,0,0,0,0,0,0,0,0,.F.,0,22/10/2020,22/10/2020,2,0,0,996,1,1000,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,28/10/2017,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
1002           ,LAMINA DE SEDA 50X70                    ,                                        ,                                        ,ARTISTICA                     ,0000000001,     ,.F.,.F.,0000000000,0,1498,0,0,0,0,0,0,0,0,0,.F.,0,11/6/2023,11/6/2023,2,0,0,693,10,1000,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,30/04/2021,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
1003           ,TIRA PIEDRA MURANO                      ,                                        ,                                        ,PIEDRAS NATURALES             ,0000000001,     ,.F.,.F.,0000000000,0,2491,0,0,0,0,0,0,0,0,0,.F.,0,25/04/2020,25/04/2020,2,0,0,"982,5",1,1000,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,28/10/2017,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
1004           ,LAMINA TRANSFER DECO A3                 ,                                        ,                                        ,ARTISTICA                     ,0000000001,     ,.F.,.F.,0000000000,0,4480,0,0,0,0,0,0,0,0,0,.F.,0,6/12/2023,6/12/2023,2,0,0,93,2,100,0,0,          ,0,          ,          ,          ,          ,          ,N,STANDARD  ,,.F.,,                              ,                              ,                              ,                              ,                              ,                              ,mprod.bmp                                                   ,.F.,AR  ,0,               ,UPC-A   ,25/02/2023,13/12/2023,.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No publicar                   
